option_state,option_owner,strike,amount,strikeAmount.mul(optionCollateralizationRatio).div(100).add(strikeFee),premium,expiration_date,optionType,market
1,0x9E9ddAAE1bcFcb13f4F1720B561Fed7EB0AD03E0,100000000000000,1990000000000000000,1990000000000000000,52265167554171,1604790615,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,100000000000000,15000000000000000000,15000000000000000000,392517765000000,1604790756,2,eth_options
3,0x588d91aBF5192A0f0dc026bF05f510253bD1CF51,35000000000,1000000000000000000,1000000000000000000,12340223553321210,1602458045,1,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37396000000,800000000000000000,800000000000000000,55980000000000000,1604791262,1,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37396000000,6400000000000000000,6400000000000000000,387648000000000000,1604186848,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37221000000,8000000000000000000,8000000000000000000,484560000000000000,1604187033,2,eth_options
1,0x9E9ddAAE1bcFcb13f4F1720B561Fed7EB0AD03E0,100000000000000,400000000000000000,400000000000000000,10367374308996,1604792249,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,100000000000000,50000000000000000000,50000000000000000000,1295921788624575,1604792272,2,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,6000000000000,55000000000000000000,55000000000000000000,23758566124783875,1604792272,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37039565234,15000000000000000000,15000000000000000000,908550000000000000,1604187514,2,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,35000000000000000000,35000000000000000000,9071452520372025,1604792538,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37039565234,25000000000000000000,25000000000000000000,1514250000000000000,1604187749,2,eth_options
1,0x9E9ddAAE1bcFcb13f4F1720B561Fed7EB0AD03E0,100000000000000,4800000000000000000,4800000000000000000,124408491707959,1604792807,2,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,40000000000,500000000000000000,500000000000000000,32398044715614375,1604793326,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37039565234,5900000000000000000,5900000000000000000,357363000000000000,1604189069,2,eth_options
1,0x085af0cee7918f11e3983A9433B92A003153b155,1000000000000000,2000000000000000000,2000000000000000000,5201233983054,1604794137,2,eth_options
1,0xC6f8Bcce8cc2f61A0323d211660120289283C9dE,10000000000000,4000000000000000000,4000000000000000000,1040246796610980,1604794258,2,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37039565234,800000000000000000,800000000000000000,55791146457590908,1604795069,1,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37164944502,800000000000000000,800000000000000000,55980000000000000,1604795204,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37164944502,6000000000000000000,6000000000000000000,363420000000000000,1604191487,2,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37042000000,800000000000000000,800000000000000000,55980000000000000,1604797050,2,eth_options
1,0x727F75F271Fb0d42C13e76dc2b3C4679418C571f,37150000000,1000000000000000000,1000000000000000000,69971233042635658,1604797635,1,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37152000000,1000000000000000000,1000000000000000000,69975000000000000,1604798285,1,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37152000000,1000000000000000000,1000000000000000000,69975000000000000,1604798318,2,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37152000000,5000000000000000000,5000000000000000000,349875000000000000,1604798350,1,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37152000000,5000000000000000000,5000000000000000000,349875000000000000,1604798350,2,eth_options
3,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37152000000,16000000000000000000,16000000000000000000,210960000000000000,1602465692,1,eth_options
3,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37152000000,16000000000000000000,16000000000000000000,210960000000000000,1602465692,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37152000000,51000000000000000000,51000000000000000000,3089070000000000000,1604194364,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37152000000,41000000000000000000,41000000000000000000,2483370000000000000,1604194389,2,eth_options
3,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37152000000,3000000000000000000,3000000000000000000,39555000000000000,1602466428,1,eth_options
3,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37152000000,3000000000000000000,3000000000000000000,39555000000000000,1602466504,2,eth_options
1,0xd216eEba0F34feBA9EC15e8D087a50e0F8Fd10C3,37152000000,26000000000000000,26000000000000000,1819350000000000,1604799683,1,eth_options
1,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37152000000,40000000000000000000,40000000000000000000,2422800000000000000,1604195131,1,eth_options
3,0xA00c99F5f955552742F1089deD88ABDC74E67Bac,37152000000,100000000000000000,100000000000000000,1318500000000000,1602467134,2,eth_options
1,0xd216eEba0F34feBA9EC15e8D087a50e0F8Fd10C3,37152000000,12400000000000000,12400000000000000,867690000000000,1604799934,2,eth_options
2,0x8D30A6ec33EB6F43f59C94483Ff39eb2526B89Af,37166000000,1451000000000000000,1451000000000000000,87887070000000000,1604195998,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37166000000,100000000000000000000,100000000000000000000,3496500000000000000,1602987207,1,eth_options
3,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37166000000,114000000000000000000,114000000000000000000,3986010000000000000,1602987207,2,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37166000000,4000000000000000000,4000000000000000000,279900000000000000,1604802210,1,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37166000000,4000000000000000000,4000000000000000000,279900000000000000,1604802210,2,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37166000000,2000000000000000000,2000000000000000000,139950000000000000,1604802367,1,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37166000000,2000000000000000000,2000000000000000000,139950000000000000,1604802367,2,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37166000000,2000000000000000000,2000000000000000000,139950000000000000,1604802694,1,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37166000000,2000000000000000000,2000000000000000000,139950000000000000,1604802694,2,eth_options
2,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37166000000,140000000000000000000,140000000000000000000,4895100000000000000,1602989772,1,eth_options
3,0xD799F16d365bD525e0Cb0ed625c499b220b70cA8,37166000000,150000000000000000000,150000000000000000000,5244750000000000000,1602989807,2,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37166000000,10000000000000000000,10000000000000000000,699750000000000000,1604806455,1,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37166000000,10000000000000000000,10000000000000000000,699750000000000000,1604806455,2,eth_options
1,0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,37166000000,100000000000000000000,100000000000000000000,6997500000000000000,1604807452,1,eth_options
1,0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,37166000000,100000000000000000000,100000000000000000000,6997500000000000000,1604807471,2,eth_options
1,0x6F179165237bC5948b0b4C05b3A94e0eAc9919F9,37166000000,27000000000000000000,27000000000000000000,1635390000000000000,1604202860,1,eth_options
3,0xb2767a14CABD82D7AdE23F4e810a718C64acEB7f,37056000000,1000000000000000000,1000000000000000000,13185000000000000,1602478366,1,eth_options
3,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37056000000,150000000000000000000,150000000000000000000,1977750000000000000,1602478611,1,eth_options
3,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37056000000,150000000000000000000,150000000000000000000,1977750000000000000,1602478651,2,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37129320445,50000000000000000000,50000000000000000000,3498750000000000000,1604812156,1,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37129320445,50000000000000000000,50000000000000000000,3498750000000000000,1604812162,2,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37129320445,40000000000000000000,40000000000000000000,2799000000000000000,1604812224,1,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,37129320445,40000000000000000000,40000000000000000000,2799000000000000000,1604812241,2,eth_options
3,0x1EBb814C9EF016E6012bE299ED834f1dDcEd1529,35000000000,1000000000000000000,1000000000000000000,46501491013620610,1603610287,1,eth_options
1,0x2880a6bb2cD1DF6E03dC8BbFBEd009DE586c2603,37223000000,30000000000000000000,30000000000000000000,2099250000000000000,1604820954,2,eth_options
1,0x2880a6bb2cD1DF6E03dC8BbFBEd009DE586c2603,37223000000,30000000000000000000,30000000000000000000,2099250000000000000,1604821013,1,eth_options
3,0xC148De270B6aFCAAFE32792507D88a885ca3eD7A,10000000000000,10000000000000000000,10000000000000000000,490785255000000,1602493295,2,eth_options
3,0x9fAe1b2Be0A8D7e64780fd740F8AD05188E8170A,38000000000,1000000000000000000,1000000000000000000,12915401447368421,1602494998,2,eth_options
3,0x7b4778d265F5280f600a2917C6Aaf59B44fb2429,37000000000,10000000000000000000,10000000000000000000,342991229399046019,1603019306,1,eth_options
1,0xe491a345CDae4eEbaeC104456c0A229E1deaDff1,37718311406,1000000000000000000,1000000000000000000,69975000000000000,1604833707,1,eth_options
1,0xe491a345CDae4eEbaeC104456c0A229E1deaDff1,37718311406,1000000000000000000,1000000000000000000,69975000000000000,1604833731,2,eth_options
3,0x178CFe4e55fD5720a1edE7F3F3F7f096c678a648,37316809487,1000000000000000000,1000000000000000000,34965000000000000,1603031139,1,eth_options
3,0x7D8cC59c0053F45253C287F3F422c5415739dA04,37505000000,20000000000000000000,20000000000000000000,699300000000000000,1603032226,2,eth_options
1,0x72c2c890625F7e2eC82A49a5B0D6438C36FC1bB5,500000000000,1000000000000000000,1000000000000000000,5243929172905050,1604849183,2,eth_options
1,0x549C0421c69Be943A2A60e76B19b4A801682cBD3,38000000000,1000000000000000000,1000000000000000000,68999068064540131,1604850808,2,eth_options
3,0xE70C89EcE8819C2a91FF23b3b3ef958ee44f9756,37470019099,17000000000000000000,17000000000000000000,840735000000000000,1603641825,2,eth_options
1,0xd7E228b7eB0c727706d5955c4c518CB10a3E7a19,37500000000,15000000000000000000,15000000000000000000,1048841864740993391,1604860129,1,eth_options
3,0x8e3f5e7578B9e0f4B9Ab65C85568C8F80aEC95AE,37528000000,1000000000000000000,1000000000000000000,34965000000000000,1603045874,1,eth_options
3,0x8e3f5e7578B9e0f4B9Ab65C85568C8F80aEC95AE,37528000000,1000000000000000000,1000000000000000000,34965000000000000,1603045874,2,eth_options
3,0x8036CD88376FAc53D5583E4e2e1129B2BD4130E8,37528000000,1000000000000000000,1000000000000000000,34965000000000000,1603047454,1,eth_options
1,0x280A8675cF1d930c638F4f9Eb9dbe75823801D5a,37500000000,20000000000000000000,20000000000000000000,1450408970623613375,1604866864,1,eth_options
3,0x8e3f5e7578B9e0f4B9Ab65C85568C8F80aEC95AE,37230846115,25000000000000000000,25000000000000000000,329599803716723019,1602540293,1,eth_options
3,0x6cEaa647f9E67faeA9EDb996Cf1e971BfC35da05,37400000000,20000000000000000000,20000000000000000000,698944921029423554,1603070071,1,eth_options
3,0x6cEaa647f9E67faeA9EDb996Cf1e971BfC35da05,37400000000,20000000000000000000,20000000000000000000,709810528072043814,1603070071,2,eth_options
3,0xCCe853ECB829d914d119724761e3deb6ad982047,37478000000,3195800000000000000,3195800000000000000,47415350156185690,1602560489,1,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37417000000,50000000000000000000,50000000000000000000,3498750000000000000,1604894327,1,eth_options
1,0x5a61a0A529B687930c1C9b4dB1bB17931e122724,37417000000,50000000000000000000,50000000000000000000,3498750000000000000,1604894327,2,eth_options
3,0x4835072a5b621EDA8e5eD1CF1AA55558DfBCC514,37406000000,3000000000000000000,3000000000000000000,39555000000000000,1602579133,1,eth_options
1,0x92B0f8DDe5215D4db5A9Edd44f3585d50883BC80,10000,10000000000000000000,10000000000000000000,187068919424,1604911977,1,eth_options
3,0x7D8cC59c0053F45253C287F3F422c5415739dA04,36742366618,20000000000000000000,20000000000000000000,699300000000000000,1603105155,1,eth_options
3,0xbfeceC47dD8bf5F6264A9830A9d26ef387c38A67,36742366618,30000000000000000000,30000000000000000000,1047984324966990687,1603105343,1,eth_options
3,0x049261c9110499B6135b0Cba5dC391104b8109Ac,36700084371,3000000000000000000,3000000000000000000,104895000000000000,1603107875,1,eth_options
3,0x049261c9110499B6135b0Cba5dC391104b8109Ac,36700084371,3000000000000000000,3000000000000000000,104895000000000000,1603107875,2,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,36700084371,10000000000000000000,10000000000000000000,605700000000000000,1604317533,1,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,36700084371,10000000000000000000,10000000000000000000,605700000000000000,1604317543,2,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,36700084371,10000000000000000000,10000000000000000000,605700000000000000,1604317603,1,eth_options
1,0x049261c9110499B6135b0Cba5dC391104b8109Ac,36700084371,10000000000000000000,10000000000000000000,605700000000000000,1604317926,2,eth_options
1,0x7b4778d265F5280f600a2917C6Aaf59B44fb2429,10000000000000,10000000000000000000,10000000000000000000,2568088403860725,1604925040,2,eth_options
3,0x727F75F271Fb0d42C13e76dc2b3C4679418C571f,38294000000,20000000000000000000,20000000000000000000,699300000000000000,1603119854,1,eth_options
1,0x198ad6C547D20d70f2F656a4F48e6c7cfb7B4325,40000000000,2500000000000000000000,2500000000000000000000,167476415625000000000,1604935101,2,eth_options
1,0x198ad6C547D20d70f2F656a4F48e6c7cfb7B4325,40000000000,1000000000000000000000,1000000000000000000000,66990566250000000000,1604935258,2,eth_options
1,0xd9d23DB5632262033ad9F73aC8FBBa8d76d00188,38732287157,1000000000000000000,1000000000000000000,69975000000000000,1604941662,2,eth_options
2,0xb0d0A07c602621a46f33924264BA9184e41D2aCE,39000000000,5000000000000000000,5000000000000000000,245533837345811538,1603737266,2,eth_options
1,0xfeb60bDCcdEAb4ad217fdf8F252e61B68eFb1538,38725385326,50000000000000000000,50000000000000000000,3498750000000000000,1604948052,2,eth_options
1,0x198ad6C547D20d70f2F656a4F48e6c7cfb7B4325,45000000000,850000000000000000000,850000000000000000000,51376635407490000000,1604950331,2,eth_options
2,0xF4df8faF322742057f9c43a7183d8E883905C37E,38870161080,300000000000000000,300000000000000000,3955500000000000,1602618344,2,eth_options
3,0xF4df8faF322742057f9c43a7183d8E883905C37E,38791771044,300000000000000000,300000000000000000,3955500000000000,1602621963,1,eth_options
3,0x4835072a5b621EDA8e5eD1CF1AA55558DfBCC514,39302708890,1000000000000000000,1000000000000000000,13185000000000000,1602627202,2,eth_options
1,0xb126afa1075BbfBBe49E8321c6016f9B7CE5Ca13,39302708890,20000000000000000000,20000000000000000000,1399500000000000000,1604960129,2,eth_options
1,0xD9876b83DEE2f271EFdB5a94cB988A2F492fA65E,39427000000,5000000000000000000,5000000000000000000,349875000000000000,1604961898,2,eth_options
1,0xb126afa1075BbfBBe49E8321c6016f9B7CE5Ca13,39427000000,32000000000000000000,32000000000000000000,2239200000000000000,1604962024,2,eth_options
1,0xb126afa1075BbfBBe49E8321c6016f9B7CE5Ca13,39196000000,9000000000000000000,9000000000000000000,628436616472823936,1604962566,1,eth_options
3,0xD9876b83DEE2f271EFdB5a94cB988A2F492fA65E,40000000000,5000000000000000000,5000000000000000000,64737486135281250,1602629859,2,eth_options
2,0x24ee78F038525eccAE186bC3bcF5d2BAdD850Bd9,39188000000,20000000000000000000,20000000000000000000,699300000000000000,1603149126,1,eth_options
3,0x4835072a5b621EDA8e5eD1CF1AA55558DfBCC514,38931500000,5000000000000000000,5000000000000000000,66120193616748008,1602630953,1,eth_options
1,0xE551388B683BB1E34e27E5a7b00eaBE79b080Bf7,38413000000,5000000000000000000,5000000000000000000,302850000000000000,1604369933,1,eth_options
3,0x3c3698258060EB0e633daB458d96a7a8B34Db9b6,38400000000,75000000000000000000,75000000000000000000,988783672706894531,1602646316,2,eth_options
1,0xE551388B683BB1E34e27E5a7b00eaBE79b080Bf7,38354617509,6000000000000000000,6000000000000000000,419850000000000000,1604991556,1,eth_options
1,0xE551388B683BB1E34e27E5a7b00eaBE79b080Bf7,38431000000,6000000000000000000,6000000000000000000,419850000000000000,1604999362,1,eth_options
1,0xc05Fd879C9c550dE2470aFf07740962A7af434c5,40000000000,1000000000000000000,1000000000000000000,67230230625000000,1605000276,2,eth_options
1,0x10f77e56bDCcadE0B4542145e5C408F1f8Bf5AfB,38431000000,16000000000000000000,16000000000000000000,969120000000000000,1604396105,2,eth_options
1,0xA64c1AFE585e435709fe83c3B1c1a100d3A9Ea0c,38592224636,30000000000000000000,30000000000000000000,2099250000000000000,1605005432,2,eth_options
1,0xA64c1AFE585e435709fe83c3B1c1a100d3A9Ea0c,38485000000,30000000000000000000,30000000000000000000,2099244212282521911,1605005925,1,eth_options
3,0x81D98c8fdA0410ee3e9D7586cB949cD19FA4cf38,38471000000,4000000000000000000,4000000000000000000,197820000000000000,1603800238,2,eth_options
1,0x71A5495b8CdCB160C65ABae216725fF713507D16,38160000000,600000000000000000000,600000000000000000000,36342000000000000000,1604409255,2,eth_options
1,0xFfC041B1c734f8bC0502A9Fc0d7c35AB437C416d,37983000000,30000000000000000000,30000000000000000000,2099250000000000000,1605027708,1,eth_options
3,0xD1818A80DAc94Fa1dB124B9B1A1BB71Dc20f228d,38270314729,60000000000000000000,60000000000000000000,791100000000000000,1602713985,1,eth_options
3,0x6c4d27d3aE62B6C1eAa9b732377F7Ddf3cF2B1E6,38300000000,1000000000000000000,1000000000000000000,13172772568370757,1602732258,2,eth_options
3,0x3873A4479Fc2Bb6D8bD7704E8673F22b51E0c263,38000000000,1000000000000000000,1000000000000000000,13183013931769865,1602764739,1,eth_options
3,0xe05d396512959b5bFD1EA9be3CD09A2412e4010c,38000000000,50000000000000000000,50000000000000000000,2346097535005057764,1603312596,1,eth_options
2,0xFfC041B1c734f8bC0502A9Fc0d7c35AB437C416d,37943755045,10000000000000000000,10000000000000000000,699750000000000000,1605139734,2,eth_options
3,0xE9B80B4cF85d7709583DFF27c1F51B289Cd1E152,37815000000,3000000000000000000,3000000000000000000,39555000000000000,1602810245,2,eth_options
2,0xE9B80B4cF85d7709583DFF27c1F51B289Cd1E152,37815000000,1000000000000000000,1000000000000000000,49455000000000000,1603933729,2,eth_options
3,0xE9B80B4cF85d7709583DFF27c1F51B289Cd1E152,37815000000,1000000000000000000,1000000000000000000,13185000000000000,1602810774,1,eth_options
1,0x23B500Af90B1c67E97De5Ed6D77Cd375C791e3e5,37734000000,1000000000000000000,1000000000000000000,69975000000000000,1605147229,2,eth_options
3,0xE9B80B4cF85d7709583DFF27c1F51B289Cd1E152,37622826160,2000000000000000000,2000000000000000000,26370000000000000,1602818345,1,eth_options
3,0x0ac11E0e0E8BEC2f2F6fED967dB392b30f1D944b,38500000000,5000000000000000000,5000000000000000000,64740381070482467,1602824405,2,eth_options
1,0xf6bc7583a190723b383f77D3d221192E2BF83A0F,37320239512,5000000000000000000,5000000000000000000,349875000000000000,1605179370,1,eth_options
3,0xbfeceC47dD8bf5F6264A9830A9d26ef387c38A67,37538000000,45000000000000000000,45000000000000000000,2225475000000000000,1603977956,1,eth_options
1,0xc51E4f7AdA44ca984cBBbAF035b8c2f4672B751D,37538000000,5000000000000000000,5000000000000000000,349875000000000000,1605187859,2,eth_options
1,0xf6bc7583a190723b383f77D3d221192E2BF83A0F,37652000000,5000000000000000000,5000000000000000000,349875000000000000,1605195919,2,eth_options
1,0x82cCf5eD8F713281B1BE7d12F64A614e20c3BaD0,10000000000000000,1000000000000000000,1000000000000000000,259866157500,1605241189,2,eth_options
2,0x7b4778d265F5280f600a2917C6Aaf59B44fb2429,36752000000,50000000000000000000,50000000000000000000,3028500000000000000,1604637167,2,eth_options
1,0xd53C9Fedcc95187307908D659846a443cb1e7350,37000000000,34000000000000000000,34000000000000000000,2376256439189189189,1605255311,2,eth_options
1,0x8e3f5e7578B9e0f4B9Ab65C85568C8F80aEC95AE,36523000000,25000000000000000000,25000000000000000000,1749375000000000000,1605268323,2,eth_options
3,0xE551388B683BB1E34e27E5a7b00eaBE79b080Bf7,36889250940,2000000000000000000,2000000000000000000,26370000000000000,1602958659,1,eth_options
3,0xa8469C535347B1AF1C5e4F746bBc01c4c39182CE,36696000000,1000000000000000000,1000000000000000000,34965000000000000,1603496993,1,eth_options
1,0x0A53E28f2f7b27971E18a6305C2C74A449BADd2e,36826000000,50000000000000000000,50000000000000000000,3498750000000000000,1605353260,1,eth_options
2,0xF9306B541f442A51333e22FD494b77D4C33A69E3,37000000000,30000000000000000,30000000000000000,2087335337837837,1605355931,2,eth_options
1,0xA00c99F5f955552742F1089deD88ABDC74E67Bac,36845000000,12000000000000000000,12000000000000000000,839700000000000000,1605366070,1,eth_options
1,0xA00c99F5f955552742F1089deD88ABDC74E67Bac,36894360869,12000000000000000000,12000000000000000000,839700000000000000,1605366220,2,eth_options
3,0xA958598d228dD5fe7d4D895E8FC2bA6153Fe3E6f,36829000000,1000000000000000000,1000000000000000000,49429342481733869,1604157917,1,eth_options
